Found 846 files in /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set
                                                                                                                                               path                                                                                                                                   log_file  n   m  failed  len_z_hat  eval_advantage  eval_hamming_frac  eval_correlation
    /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.6.npz     /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.6.log 12  78   False         12        0.410256           0.250000          0.500000
    /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.8.npz     /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho0.8.log 12  78   False         12        0.743590           0.000000          1.000000
    /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho1.0.npz     /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m78_ell2_eps0.3_kappa1.0_rho1.0.log 12  78   False         12        1.000000           0.000000          1.000000
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.0.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.0.log 12  92   False         12        0.086957                NaN               NaN
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.2.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.2.log 12  92   False         12        0.130435           0.333333          0.333333
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.4.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.4.log 12  92   False         12        0.347826           0.166667          0.666667
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.6.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.6.log 12  92   False         12        0.608696           0.000000          1.000000
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.8.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho0.8.log 12  92   False         12        0.826087           0.000000          1.000000
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho1.0.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m92_ell2_eps0.25_kappa0.875_rho1.0.log 12  92   False         12        1.000000           0.000000          1.000000
  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.0.npz   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.0.log 12  95   False         12        0.242105                NaN               NaN
  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.2.npz   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.2.log 12  95   False         12        0.178947           0.416667          0.166667
  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.4.npz   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.4.log 12  95   False         12        0.242105           0.166667          0.666667
  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.6.npz   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.6.log 12  95   False         12        0.705263           0.000000          1.000000
  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.8.npz   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho0.8.log 12  95   False         12        0.768421           0.000000          1.000000
  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho1.0.npz   /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n12_k2_m95_ell2_eps0.3_kappa0.875_rho1.0.log 12  95   False         12        1.000000           0.000000          1.000000
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.0.npz /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.0.log 13 103   False         13        0.203883                NaN               NaN
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.2.npz /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.2.log 13 103   False         13        0.126214           0.461538          0.076923
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.4.npz /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.4.log 13 103   False         13        0.398058           0.076923          0.846154
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.6.npz /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.6.log 13 103   False         13        0.514563           0.076923          0.846154
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.8.npz /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.8.log 13 103   False         13        0.747573           0.000000          1.000000
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho1.0.npz /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho1.0.log 13 103   False         13        1.000000           0.000000          1.000000
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.0.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.0.log 13 107   False         13        0.140187                NaN               NaN
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.2.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.2.log 13 107   False         13        0.233645           0.384615          0.230769
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.4.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.4.log 13 107   False         13        0.196262           0.461538          0.076923
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.6.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.6.log 13 107   False         13        0.719626           0.000000          1.000000
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.8.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.8.log 13 107   False         13        0.831776           0.000000          1.000000
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho1.0.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho1.0.log 13 107   False         13        1.000000           0.000000          1.000000
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.0.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.0.log 13 130   False         13        0.261538                NaN               NaN
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.2.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.2.log 13 130   False         13        0.276923           0.230769          0.538462
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.4.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.4.log 13 130   False         13        0.492308           0.000000          1.000000
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.6.npz  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set/kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.6.log 13 130   False         13        0.584615           0.000000          1.000000
