Found 30 n=12 files in /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set
Notebook log file: logs/notebook_20260121_123622.log
Notebook csv file (append): logs/notebook_outputs.csv
Found 846 files in /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set
Found 30 n=12 files in /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set
                                                                                                                                              path                                                    stem                                                                                                                                                 log_file             stage2_backend  n  k   m  ell  eps  kappa  rho  failed  len_z_hat  eval_advantage  eval_hamming_frac  eval_correlation
Appended summary CSV: /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/summary_all_instances_quantum.csv
Found 30 n=13 files in /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set
                                                                                                                                               path                                                     stem                                                                                                                                                  log_file             stage2_backend  n  k   m  ell  eps  kappa  rho  failed  len_z_hat  eval_advantage  eval_hamming_frac  eval_correlation
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.0.npz kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.0 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.0.log schmidhuber_stage2_circuit 13  2 103    2 0.25  0.875  0.0   False         13        0.087379                NaN               NaN
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.2.npz kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.2 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.2.log schmidhuber_stage2_circuit 13  2 103    2 0.25  0.875  0.2   False         13       -0.009709           0.230769          0.538462
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.4.npz kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.4 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.4.log schmidhuber_stage2_circuit 13  2 103    2 0.25  0.875  0.4   False         13        0.398058           0.076923          0.846154
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.6.npz kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.6 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.6.log schmidhuber_stage2_circuit 13  2 103    2 0.25  0.875  0.6   False         13        0.456311           0.076923          0.846154
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.8.npz kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.8 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho0.8.log schmidhuber_stage2_circuit 13  2 103    2 0.25  0.875  0.8   False         13        0.747573           0.000000          1.000000
/Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho1.0.npz kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho1.0 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m103_ell2_eps0.25_kappa0.875_rho1.0.log schmidhuber_stage2_circuit 13  2 103    2 0.25  0.875  1.0   False         13       -0.106796           0.384615          0.230769
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.0.npz  kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.0  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.0.log schmidhuber_stage2_circuit 13  2 107    2 0.30  0.875  0.0   False         13        0.102804                NaN               NaN
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.2.npz  kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.2  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.2.log schmidhuber_stage2_circuit 13  2 107    2 0.30  0.875  0.2   False         13        0.214953           0.384615          0.230769
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.4.npz  kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.4  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.4.log schmidhuber_stage2_circuit 13  2 107    2 0.30  0.875  0.4   False         13        0.028037           0.384615          0.230769
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.6.npz  kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.6  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.6.log schmidhuber_stage2_circuit 13  2 107    2 0.30  0.875  0.6   False         13        0.084112           0.307692          0.384615
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.8.npz  kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.8  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho0.8.log schmidhuber_stage2_circuit 13  2 107    2 0.30  0.875  0.8   False         13       -0.102804           0.384615          0.230769
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho1.0.npz  kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho1.0  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m107_ell2_eps0.3_kappa0.875_rho1.0.log schmidhuber_stage2_circuit 13  2 107    2 0.30  0.875  1.0   False         13       -0.214953           0.461538          0.076923
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.0.npz  kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.0  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.0.log schmidhuber_stage2_circuit 13  2 130    2 0.25  0.750  0.0   False         13       -0.123077                NaN               NaN
 /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/z_Daphne/data/final_problem_set/kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.2.npz  kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.2  /Users/julian/CodingProjects/UniT3/QuarticSpeedupK-XOR/logs/final_problem_set_quantum_stage2/kxor_instance_n13_k2_m130_ell2_eps0.25_kappa0.75_rho0.2.log schmidhuber_stage2_circuit 13  2 130    2 0.25  0.750  0.2   False         13        0.276923           0.230769          0.538462
